id,views,comments
mLCnXQhB8q0,0,18903
dxPRngczqz4,0,1688
tI3kgiypRso,5,16570
C_chtdXRH00,5,158752
gnyYWv_xAwg,1,1931
EraXEfo2a9g,5,12613
ECMdqZUkMwo,0,2434
A51SKZes7Ug,2,5992
XHGjLPZ388Y,5,55289
VTuUBEdPpKs,0,6001
eiuzR5bFjF8,19,2441
CJjz4RMHQas,22,29374
D5zil9iZciQ,1,1606
K00wTqZdtWg,0,2135
If0ZLM9_ogE,27,2720
7wJ-yk-TaYE,54,534847
iTInZhv4ZyE,39,196056
D7isK0_-oXk,14,8992
_6ZFbKqTOoA,0,8455
nai_ObAkcGU,4,1991
HJ-ZlCWhqJk,4,5664206
7q_ghXaSRaM,1,5021
1BJEFtURgnI,0,1752
tvM1mEur9Dc,1,4913
NB38s2mlTsM,0,1868
bcM61nYYUNM,0,1585
CGeb0HSP-aY,0,1566
W64dUaiBKhU,1,9663
fOJXFcYqHhQ,0,1239
w6GzFb7tRtU,222,226422
bnhHs5nQFMs,1,1188
QaJ9V6TyLTM,0,2490
pMhAVle7czE,0,3118
E2H0j5jXz8I,5,8422
0UoWXLtAhRs,8,56185
5i7tywhozYo,0,1238
PUbDRuASIWs,0,1095
yxH4WZ1HiZw,0,1197
ruDIvWBY47U,38,45418
nOLBhuxkvEU,1,5571
yWklV3Ykbuo,0,3761
xSke1U26608,14,61231
L4WMApuXZuU,25,12788
Kt0gopVMqBc,10,3872
Nan0BKFlxJA,3,12921
fvNZt_lndG4,0,1182
qGrPrihzJqs,15,1453
ztxkx3gGRSQ,0,1849
jBP5QYqibVY,3,17524
i3WgJl_ihn4,0,5581
OLpIZ1wEaCA,1,2106
3C5zorltKm4,4,5454
SBm1GkoOshc,17,46342
pVUh0KjvxFs,14,22777
LRvvxTM0Os0,0,1731
aiJjQ5PWeUI,0,2667
3T9USqzl1vw,3848,1174698
PpqKbxxlYUg,0,1126
IFdXDojS-W4,1,8232
MYhr7MmNoY4,1,1508
wl_9VStK5cs,0,4470
J0o1ntkWwRE,14,118123
